model,folds,n,log_loss,brier,accuracy,ece,beat_market_folds,vs_market
MARKET,16,6080,0.9633375,0.57111875,0.54408125,0.02885625,0,0.0
market+10%model,16,6080,0.96419375,0.5717875,0.54178125,0.02854375,5,0.0009
market+25%model,16,6080,0.96863125,0.57484375,0.53831875,0.0305125,3,0.0053
logistic_pit,16,6080,0.99615,0.5933125,0.5230312500000001,0.03224375,0,0.0328
strength_only,16,6080,1.00966875,0.6027312499999999,0.5106937500000001,0.02944375,0,0.0463
xgb_pit,16,6080,1.02305625,0.6085125,0.5092125,0.0501,0,0.0597
xgb_pit_decay,16,6080,1.0560375,0.62694375,0.4944,0.07209375,0,0.0927
base_rate,16,6080,1.0681625000000001,0.64595,0.4473625,0.01775,0,0.1048
