fold,model,n,log_loss,ece
1516,_w_market_dc,380,0.2,
1617,MARKET,380,0.9041782714881208,0.019566761203655095
1617,dc_goals,380,0.9229885266669393,0.008475969403066469
1617,dc_shots,380,0.9497854550456225,0.042176687580834545
1617,dc_goals_calibrated,380,0.9231997541341956,0.00833024011816809
1617,dc_goals+shots(wf),380,0.9233006951624397,0.013222473559121706
1617,market+dc(wf),380,0.9051446857085892,0.02427654800252772
1617,_w_shots,380,0.1,
1617,_w_market_dc,380,0.15,
1718,MARKET,380,0.959849344298455,0.023306073616672005
1718,dc_goals,380,1.0077355960464316,0.03037950847548899
1718,dc_shots,380,1.0249544093971694,0.026760858394985997
1718,dc_goals_calibrated,380,1.0095898737580595,0.03507622643117093
1718,dc_goals+shots(wf),380,1.00700872231941,0.03203214091021885
1718,market+dc(wf),380,0.9618909048621325,0.023099017136913154
1718,_w_shots,380,0.05,
1718,_w_market_dc,380,0.1,
1819,MARKET,380,1.008996034057554,0.017955194585825868
1819,dc_goals,380,1.0169658653104687,0.03750293549853634
1819,dc_shots,380,1.0244773735823836,0.03751272260217329
1819,dc_goals_calibrated,380,1.0131801524120474,0.03403475554952002
1819,dc_goals+shots(wf),380,1.015687830306929,0.03394613410456346
1819,market+dc(wf),380,1.0085191206301465,0.019053659593693657
1819,_w_shots,380,0.1,
1819,_w_market_dc,380,0.05,
1920,MARKET,380,0.9805604852662914,0.01301005906579021
1920,dc_goals,380,1.0313413942323024,0.045160277408065955
1920,dc_shots,380,1.0153677472317988,0.025203730539657687
1920,dc_goals_calibrated,380,1.0240619738308927,0.029321104754749416
1920,dc_goals+shots(wf),380,1.026200412859367,0.03503813745921395
1920,market+dc(wf),380,0.9815880202505131,0.011120454941264386
1920,_w_shots,380,0.1,
1920,_w_market_dc,380,0.05,
2021,MARKET,380,0.983578098905641,0.022097112039330326
2021,dc_goals,380,1.000098030894966,0.022597073677098217
2021,dc_shots,380,1.0253254260285525,0.02801780104775579
2021,dc_goals_calibrated,380,1.0035989944131618,0.029000582057956834
2021,dc_goals+shots(wf),380,1.0018605974706278,0.03197340711464574
2021,market+dc(wf),380,0.983578098905641,0.022097112039330326
2021,_w_shots,380,0.2,
2021,_w_market_dc,380,0.0,
2122,MARKET,380,0.9858869073064719,0.03757476202245254
2122,dc_goals,380,1.0016727916021535,0.01921358787527722
2122,dc_shots,380,1.0052649048380053,0.04593779143493234
2122,dc_goals_calibrated,380,1.0058907852726808,0.04158893945299186
2122,dc_goals+shots(wf),380,0.9993007799020884,0.025342576848795418
2122,market+dc(wf),380,0.9858437174553848,0.03196134552181159
2122,_w_shots,380,0.15,
2122,_w_market_dc,380,0.05,
2223,MARKET,380,0.979696779498402,0.03126048852019741
2223,dc_goals,380,0.9930125405097397,0.034601356787206605
2223,dc_shots,380,0.9869184623106722,0.04245640130745223
2223,dc_goals_calibrated,380,1.0035479592729135,0.048892836133194784
2223,dc_goals+shots(wf),380,0.9885505839414886,0.04192364875100716
2223,market+dc(wf),380,0.9792927640896772,0.030332507420718215
2223,_w_shots,380,0.2,
2223,_w_market_dc,380,0.05,
2324,MARKET,380,0.9488412153321912,0.027817153544200172
2324,dc_goals,380,0.9736570399552507,0.02523170846905387
2324,dc_shots,380,1.000844160226956,0.03546764458664943
2324,dc_goals_calibrated,380,0.9852778567724803,0.035163503613433456
2324,dc_goals+shots(wf),380,0.9755937574021902,0.02541872246904852
2324,market+dc(wf),380,0.9491236290086438,0.02530856777552075
2324,_w_shots,380,0.2,
2324,_w_market_dc,380,0.05,
2425,MARKET,380,0.9524429015862611,0.026907523339809385
2425,dc_goals,380,0.982827348068491,0.037417375978847166
2425,dc_shots,380,1.00243459405805,0.046709608754140784
2425,dc_goals_calibrated,380,0.9867540217037737,0.03165029137667593
2425,dc_goals+shots(wf),380,0.982350862118352,0.036700275595683174
2425,market+dc(wf),380,0.9531086313241193,0.029485142376727124
2425,_w_shots,380,0.2,
2425,_w_market_dc,380,0.05,
2526,MARKET,380,0.9643852334417896,0.01639631667908575
2526,dc_goals,380,0.9784261803593285,0.030999755449626364
2526,dc_shots,380,0.9844495266956211,0.028861410332464355
2526,dc_goals_calibrated,380,0.980024816197515,0.026009475448662944
2526,dc_goals+shots(wf),380,0.9775647756038884,0.03350670584301467
2526,market+dc(wf),380,0.9643852334417896,0.01639631667908575
2526,_w_shots,380,0.2,
2526,_w_market_dc,380,0.0,
