fold,model,n,log_loss,ece
1516,_w_market_dc,380,0.2,
1617,MARKET,380,0.9061231115644602,0.03938781697673033
1617,dc_goals,380,0.9516068479368512,0.04161489021583717
1617,dc_shots,380,0.9627049513620217,0.07312898354073956
1617,dc_goals_calibrated,380,0.9626803698984601,0.0628670817942658
1617,dc_goals+shots(wf),380,0.9513462776077833,0.05741092543319738
1617,market+dc(wf),380,0.908924103213895,0.04438322337361178
1617,_w_shots,380,0.2,
1617,_w_market_dc,380,0.15,
1718,MARKET,380,0.9445514486719351,0.02270178764225536
1718,dc_goals,380,0.9683317229563182,0.03369214179204499
1718,dc_shots,380,0.9879853153897299,0.03214718416082444
1718,dc_goals_calibrated,380,0.9707613448022354,0.0264303580360841
1718,dc_goals+shots(wf),380,0.96988172527205,0.03176978596633984
1718,market+dc(wf),380,0.944585294577236,0.020580698327789564
1718,_w_shots,380,0.2,
1718,_w_market_dc,380,0.05,
1819,MARKET,380,0.8924529857219684,0.026410046174122927
1819,dc_goals,380,0.9157782787537342,0.027462047810284315
1819,dc_shots,380,0.9337208860109042,0.05660712873706843
1819,dc_goals_calibrated,380,0.9244444084124286,0.04181872036442796
1819,dc_goals+shots(wf),380,0.9153844816496788,0.031367941520591414
1819,market+dc(wf),380,0.8920567683551036,0.02968610865402631
1819,_w_shots,380,0.15,
1819,_w_market_dc,380,0.05,
1920,MARKET,380,0.9722466726104881,0.012602487664307067
1920,dc_goals,380,0.9772221967195677,0.024061439994668483
1920,dc_shots,380,0.9917830022577471,0.029648953794670224
1920,dc_goals_calibrated,380,0.9803100569378357,0.035728899608983046
1920,dc_goals+shots(wf),380,0.9766275426478923,0.021899028278920034
1920,market+dc(wf),380,0.9712851850302174,0.014227483242550704
1920,_w_shots,380,0.15,
1920,_w_market_dc,380,0.05,
2021,MARKET,380,1.0058505960735054,0.026518167493318368
2021,dc_goals,380,1.0457748730482668,0.0405058177116493
2021,dc_shots,380,1.0198872307979239,0.02274985362143761
2021,dc_goals_calibrated,380,1.0436538472564416,0.04342672004275537
2021,dc_goals+shots(wf),380,1.0370063490794812,0.03473159446557015
2021,market+dc(wf),380,1.0056511769630896,0.02497832806245163
2021,_w_shots,380,0.15,
2021,_w_market_dc,380,0.1,
2122,MARKET,380,0.9362791555725254,0.028422853444030657
2122,dc_goals,380,0.9609796086977107,0.02601583653134061
2122,dc_shots,380,0.9823987405886102,0.037950355280896096
2122,dc_goals_calibrated,380,0.9639505959756373,0.02558234502000767
2122,dc_goals+shots(wf),380,0.9621624527089376,0.02748978783903477
2122,market+dc(wf),380,0.9363304804210565,0.023870639476588452
2122,_w_shots,380,0.25,
2122,_w_market_dc,380,0.1,
2223,MARKET,380,0.9662504660762327,0.028340840436066106
2223,dc_goals,380,1.0323913378654626,0.04049012588515216
2223,dc_shots,380,1.030631938209987,0.03125627336957863
2223,dc_goals_calibrated,380,1.0248653554065734,0.02127574030141183
2223,dc_goals+shots(wf),380,1.0280320355578494,0.031302371080043155
2223,market+dc(wf),380,0.969641196683895,0.018840196013702508
2223,_w_shots,380,0.2,
2223,_w_market_dc,380,0.1,
2324,MARKET,380,0.9085207591180258,0.027408656171264294
2324,dc_goals,380,0.9268516556113968,0.023475056212299065
2324,dc_shots,380,0.9461911894493241,0.0500611609771707
2324,dc_goals_calibrated,380,0.9435722357660573,0.054264404426214524
2324,dc_goals+shots(wf),380,0.9293891893494728,0.03187064188921851
2324,market+dc(wf),380,0.9085169279453456,0.026103382901089534
2324,_w_shots,380,0.25,
2324,_w_market_dc,380,0.05,
2425,MARKET,380,0.9703039994694265,0.01796603477104468
2425,dc_goals,380,1.011840489462373,0.026169757607047563
2425,dc_shots,380,1.0268087833447337,0.016306189180240297
2425,dc_goals_calibrated,380,1.0086346275229692,0.01381638079227366
2425,dc_goals+shots(wf),380,1.0119322334861198,0.022635387206365466
2425,market+dc(wf),380,0.9710258404301888,0.016736611978261512
2425,_w_shots,380,0.2,
2425,_w_market_dc,380,0.05,
2526,MARKET,380,1.0173133216774775,0.033696519169726935
2526,dc_goals,380,1.05329032585328,0.04985758124772375
2526,dc_shots,380,1.0487621819217567,0.023527091291250767
2526,dc_goals_calibrated,380,1.0442138550291238,0.014710678862512152
2526,dc_goals+shots(wf),380,1.0504753325149399,0.04077961890918182
2526,market+dc(wf),380,1.0173133216774775,0.033696519169726935
2526,_w_shots,380,0.2,
2526,_w_market_dc,380,0.0,
